Year;Count
2024;10353
2023;207969
2022;1778334
2021;1786774
2020;1640514
2019;1417758
2018;1351901
2017;1304367
2016;1285443
2015;1258060
2014;1205813
2013;1150100
2012;1090156
2011;1020632
2010;942176
2009;877687
2008;837233
2007;786751
2006;750174
2005;700443
2004;639774
2003;594604
2002;565491
2001;547640
2000;532642
1999;493949
1998;474771
1997;456897
1996;458818
1995;449341
1994;439144
1993;427724
1992;418109
1991;413292
1990;410971
1989;402905
1988;387105
1987;368059
1986;349821
1985;335442
1984;318317
1983;309590
1982;295828
1981;283695
1980;280698
1979;282182
1978;272609
1977;262234
1976;255032
1975;249242
1974;235136
1973;231157
1972;227949
1971;223658
1970;219426
1969;215361
1968;208155
1967;192073
1966;180185
1965;176729
1964;162109
1963;141537
1962;125686
1961;120174
1960;112217
1959;109995
1958;109467
1957;111522
1956;107014
1955;108559
1954;105942
1953;108934
1952;108170
1951;103833
1950;85773
1949;62834
1948;70763
1947;64993
1946;53758
1945;20444
